component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
36a28d397d6e5b586f4d6c77,mbarbine__FlaskFlow-www,backend,"backend,frontend,observability,security",api-route,auth-and-keys,route,route,app/api/create-checkout-session/route.ts,.ts,47,POST,"next/server,stripe","next,stripe",next-react,pnpm,100,80,strong-shared-candidate,True,none,none,none,"Backend component for auth-and-keys; review for shared API, service, middleware, or server helper extraction.","exports:POST | imports:next/server, stripe | backend-score:125 | frontend-score:55 | observability-score:55 | security-score:55 | uses-env | next-route-handler",ead6adadf1dbf500
239f243e432f2d83df4e4c65,mbarbine__Joshs-magnets-landing-page,backend,"backend,frontend,discovery",api-route,ai,route,route,app/.well-known/llms.txt/route.ts,.ts,5,GET,next/server,next,next-react,pnpm,95,75,review-for-shared-library,False,none,none,none,"Backend component for ai; review for shared API, service, middleware, or server helper extraction.",exports:GET | imports:next/server | backend-score:125 | frontend-score:55 | discovery-score:55 | next-route-handler,ec7fabad722d5b50
07b7041175c0bdba84faf50a,mbarbine__Joshs-magnets-landing-page,backend,"backend,frontend,integration,observability,ai",api-route,observability,route,route,app/api/mcp/route.ts,.ts,33,"GET,POST",next/server,next,next-react,pnpm,100,80,strong-shared-candidate,True,none,none,none,"Backend component for observability; review for shared API, service, middleware, or server helper extraction.","exports:GET, POST | imports:next/server | backend-score:125 | frontend-score:55 | integration-score:55 | observability-score:55 | ai-score:45 | next-route-handler",fa1a26097bf0477a
48d89ff62115a8503269eff2,mbarbine__PH3AR-WEBBY,backend,"backend,automation",backend-module,analytics,+layout.server,layout-server,src/routes/+layout.server.js,.js,9,,./$types,,svelte,bun,70,35,site-specific-or-low-confidence,True,none,secondary,none,"Backend component for analytics; review for shared API, service, middleware, or server helper extraction.",imports:./$types | backend-score:55 | automation-score:45 | uses-env,a9d3a8428a595aef
b5cbbbdd782402eebf786064,mbarbine__PH3AR-WEBBY,backend,backend,backend-module,commerce,+page,page,src/routes/+page.js,.js,5,"csr,prerender",,,svelte,bun,65,35,site-specific-or-low-confidence,True,none,none,none,"Backend component for commerce; review for shared API, service, middleware, or server helper extraction.","exports:csr, prerender | backend-score:55",ed18ec363c1b2369
5aa24d334159a09b03f1584b,mbarbine__PH3AR-WEBBY,backend,"backend,discovery",backend-module,discovery,+server,server,src/routes/rss.xml/+server.ts,.ts,65,GET,,,svelte,bun,80,55,catalog-only,True,none,none,none,"Backend component for discovery; review for shared API, service, middleware, or server helper extraction.",exports:GET | backend-score:125 | discovery-score:55 | next-route-handler,a44046c6d47dc85c
0bff81230c953677cf5ccb40,mbarbine__PH3AR-WEBBY,backend,"backend,observability,discovery",backend-module,discovery,+server,server,src/routes/feed.xml/+server.ts,.ts,9,GET,,,svelte,bun,75,50,catalog-only,True,none,none,none,"Backend component for discovery; review for shared API, service, middleware, or server helper extraction.",exports:GET | backend-score:125 | observability-score:55 | discovery-score:55 | next-route-handler,0e34e009cae70ff0
782976b852e44f9a8880316a,mbarbine__PH3AR-WEBBY,backend,backend,backend-module,commerce,+page,page,src/routes/about/+page.js,.js,5,"csr,prerender",,,svelte,bun,65,35,site-specific-or-low-confidence,True,none,none,none,"Backend component for commerce; review for shared API, service, middleware, or server helper extraction.","exports:csr, prerender | backend-score:55",ed18ec363c1b2369
8db848ca5faa014b06bd7d59,mbarbine__PH3AR-WEBBY,backend,"backend,observability",backend-module,analytics,page.test,page,src/routes/watch-this/page.test.ts,.ts,90,,"./+page.svelte,@testing-library/jest-dom/matchers,@testing-library/svelte,vitest","@testing-library/jest-dom,@testing-library/svelte,vitest",svelte,bun,75,40,site-specific-or-low-confidence,True,none,none,none,"Backend component for analytics; review for shared API, service, middleware, or server helper extraction.","imports:./+page.svelte, @testing-library/jest-dom/matchers, @testing-library/svelte, vitest | backend-score:55 | observability-score:55",38d0846bcb9bcdc5
0204cae3ec731ed30bc0d78d,mbarbine__PH3AR-WEBBY,backend,"backend,observability,security,ai",api-route,observability,_temp_server,temp-server,src/routes/api/getRecommendation/_temp_server.cjs,.cjs,230,"MOCK_RECOMMENDATIONS,POST",./__mock_kv.cjs,,svelte,bun,100,75,review-for-shared-library,True,none,none,none,"Backend component for observability; review for shared API, service, middleware, or server helper extraction.","exports:MOCK_RECOMMENDATIONS, POST | imports:./__mock_kv.cjs | backend-score:55 | observability-score:55 | security-score:55 | ai-score:45 | model-provider",8b6b9f7d06e89c1c
