repo,priority,opportunity,recommended_frontend_component,recommended_backend_component,recommended_logic_component,recommended_process_component,recommended_eval_or_prompt,evidence_paths
ph3ar__newdittyswag-commerce,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE.md | package.json | pnpm-lock.yaml | src/components/SearchBar.svelte | src/store.js
ph3ar__DeskThing-FortuneCookie,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs; Security signal explanation, trust scoring, bot analysis, and anomaly detection","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | pnpm-lock.yaml | server/fortune.ts | src/index.css | src/stores/settingsStore.ts
mbarbine__tiktok-clone,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/globals.css | app/profile/page.tsx | components/ui/alert-dialog.tsx | components/ui/form.tsx | components/ui/use-toast.ts | components/video-feed.tsx | pnpm-lock.yaml
mbarbine__starphone-fork-webby,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/jobs/page.tsx | app/page.tsx | app/roadmap/page.tsx | components/layout.test.tsx | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/tabs.tsx | pnpm-lock.yaml
mbarbine__scratchcraft,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | components/ui/alert-dialog.tsx | components/ui/form.tsx | components/ui/tabs.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml
mbarbine__robot-clothing-marketplace,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/auth/login/loading.tsx | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | package-lock.json | styles/globals.css
mbarbine__platphorm-news-alt-theme,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/api/stories/[type]/route.ts | app/from/[domain]/page.tsx | app/globals.css | app/jobs/page.tsx | app/page.tsx | pnpm-lock.yaml
mbarbine__multiplayer-puzzle-game,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/demo/page.tsx | app/globals.css | components/ui/alert-dialog.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml
mbarbine__microwave-sticker-webby,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/globals.css | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | package-lock.json
mbarbine__mermaid-community-platform,high,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/auth/login/page.tsx | app/dashboard/analytics/page.tsx | app/globals.css | pnpm-lock.yaml
