component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
2b780875bc3fdd5043cfdff7,mbarbine__2025-year-in-review-webby,observability,"observability,security,automation",observability-module,observability,pnpm-lock,pnpm-lock,pnpm-lock.yaml,.yaml,3325,,,,next-react,pnpm,65,35,site-specific-or-low-confidence,True,none,secondary,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55 | automation-score:45,88756a3156c89418
f61b4ab0bdd7718710df3223,mbarbine__2025-year-in-review-webby,process,"process,observability,automation",process-document,observability,README,readme,README.md,.md,30,,,,next-react,pnpm,55,70,shared-process-candidate,True,primary,secondary,none,"Process component for observability; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:110 | observability-score:55 | automation-score:45,72bfe4b262120299
7df85ac80e5fa943e5c85d4e,mbarbine__2025-year-in-review-webby,observability,"observability,security,automation",observability-module,observability,package,package,package.json,.json,76,,,,next-react,pnpm,65,55,catalog-only,True,none,secondary,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55 | automation-score:45,71c6884c9c9b6cc3
526e78bde558015e50e0f7fc,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui,automation,ai",layout,ai,layout,layout,app/layout.tsx,.tsx,51,"RootLayout,metadata","@vercel/analytics/next,next,next/font/google,react","@vercel/analytics,next,react",next-react,pnpm,100,55,catalog-only,True,none,secondary,none,"Frontend component for ai; review as feature component, provider, page, or hook.","exports:RootLayout, metadata | imports:@vercel/analytics/next, next, next/font/google, react | frontend-score:115 | ui-score:70 | automation-score:45 | ai-score:45",fbcf4991d6aa2f53
3b9824449c5ace8a1e70112f,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui,security,automation,ai",page,ai,page,page,app/page.tsx,.tsx,241,VibeCheck2025,"@/components/achievement-card,@/components/share-card,@/components/stat-counter,@/components/ui/button,@/components/ui/card,framer-motion,lucide-react,react","@/components,framer-motion,lucide-react,react",next-react,pnpm,100,40,site-specific-or-low-confidence,True,none,secondary,none,"Frontend component for ai; review as feature component, provider, page, or hook.","exports:VibeCheck2025 | imports:@/components/achievement-card, @/components/share-card, @/components/stat-counter, @/components/ui/button, @/components/ui/card, framer-motion, lucide-react, react | frontend-score:115 | ui-score:70 | security-score:55 | automation-score:45 | ai-score:45",c1af301f135caaad
72db0dceb11843c9aac2b0d3,mbarbine__2025-year-in-review-webby,style,"style,security",stylesheet,editor,globals,globals,app/globals.css,.css,140,,,,next-react,pnpm,75,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | security-score:55,e15dc15fe5756625
3abc284408d482258a5eb61f,mbarbine__2025-year-in-review-webby,style,style,stylesheet,editor,globals,globals,styles/globals.css,.css,125,,,,next-react,pnpm,55,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,7f30dbe34b65246e
d451ac90b38b4e967b8ff20f,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui",ui-provider,design-system,theme-provider,theme-provider,components/theme-provider.tsx,.tsx,11,ThemeProvider,"next-themes,react","next-themes,react",next-react,pnpm,100,80,strong-shared-candidate,False,none,none,none,"Frontend component for design-system; review as feature component, provider, page, or hook.","exports:ThemeProvider | imports:next-themes, react | frontend-score:115 | ui-score:70",7c1edcfa7a0614bf
02f9a4904fdf85ee6de4c62f,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui,observability",feature-ui,observability,stat-counter,stat-counter,components/stat-counter.tsx,.tsx,26,StatCounter,"@react-spring/web,react","@react-spring/web,react",next-react,pnpm,100,55,catalog-only,False,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:StatCounter | imports:@react-spring/web, react | frontend-score:115 | ui-score:70 | observability-score:55",61e0b6cfef9f4e49
88ff43431553e9bde0ac5ad1,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui",feature-ui,commerce,achievement-card,achievement-card,components/achievement-card.tsx,.tsx,51,AchievementCard,"@/components/ui/card,framer-motion,lucide-react","@/components,framer-motion,lucide-react",next-react,pnpm,100,30,site-specific-or-low-confidence,False,none,none,none,"Frontend component for commerce; review as feature component, provider, page, or hook.","exports:AchievementCard | imports:@/components/ui/card, framer-motion, lucide-react | frontend-score:115 | ui-score:55",4d40e9f2a29a35f4
dd9b722652107c2e9c771a6a,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui,observability,ai",feature-ui,observability,share-card,share-card,components/share-card.tsx,.tsx,108,ShareCard,"@/components/ui/button,@/components/ui/card,framer-motion,lucide-react,react","@/components,framer-motion,lucide-react,react",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:ShareCard | imports:@/components/ui/button, @/components/ui/card, framer-motion, lucide-react, react | frontend-score:115 | ui-score:70 | observability-score:55 | ai-score:45",331b73566da8129c
abc2ba6e356663be22796521,mbarbine__2025-year-in-review-webby,ui,"ui,frontend",ui-primitive,testing,aspect-ratio,aspect-ratio,components/ui/aspect-ratio.tsx,.tsx,11,AspectRatio,@radix-ui/react-aspect-ratio,@radix-ui/react-aspect-ratio,next-react,pnpm,100,65,shared-ui-candidate,False,none,none,none,UI component for testing; catalog as reusable frontend surface or design-system primitive.,exports:AspectRatio | imports:@radix-ui/react-aspect-ratio | ui-score:125 | frontend-score:85,09035a9c5b8211ff
